Assuming 9 as type relation
Loading files... 
  Starting sel_fw.txt
  Finished sel_fw.txt, still running: 0
Loaded 882061 facts in 8.53 s using -181 MB
Using HeadCoverage as pruning metric with minimum threshold 0.001
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.01
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 1 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?n  Leader of  ?a  ?a  Leader of  ?h  ?h  Leader of  ?n  ?n  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	1	1	2109	2109	2109	-2
?a  Leader of  ?h  ?n  Leader of  ?h  ?h  Leader of  ?n  ?n  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.999526066	0.999526066	2109	2110	2110	-2
?a  Leader of  ?h  ?h  Leader of  ?n  ?s  Leader of  ?n  ?s  equalTo  ?b   => ?a  equalTo  ?b	0.005374482	0.936944938	0.936944938	2110	2252	2252	-2
?h  Leader of  ?a  ?a  Leader of  ?h  ?m  Leader of  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.999526066	0.999526066	2109	2110	2110	-2
?m  Leader of  ?a  ?a  Leader of  ?h  ?m  Leader of  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.999526066	0.999526066	2109	2110	2110	-2
?a  Leader of  ?h  ?m  Leader of  ?h  ?m  Leader of  ?t  ?t  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.539110429	0.539110429	2109	3912	3912	-2
?a  Leader of  ?h  ?m  Leader of  ?h  ?s  Leader of  ?m  ?s  equalTo  ?b   => ?a  equalTo  ?b	0.005374482	0.937361173	0.937361173	2110	2251	2251	-2
?g  Place  ?a  ?v  Place  ?a  ?g  Place  ?v  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?g  Place  ?a  ?g  Place  ?v  ?g  equalTo  ?b  ?v  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?g  Place  ?a  ?v  Place  ?g  ?g  Place  ?v  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?g  Place  ?a  ?u  Place  ?a  ?g  equalTo  ?b  ?u  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	0.98094449	0.98094449	4736	4828	4828	-2
?g  Place  ?a  ?u  Place  ?a  ?u  Place  ?g  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?g  Place  ?a  ?u  Place  ?a  ?a  Place  ?u  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?g  Leader of  ?a  ?u  Leader of  ?a  ?a  Leader of  ?u  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.999526066	0.999526066	2109	2110	2110	-2
?g  Children  ?n  ?s  Children  ?n  ?s  Spouse (or domestic partner)  ?a  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.005435613	0.401731928	0.401731928	2134	5312	5312	-2
?s  Previous episode  ?a  ?g  Series  ?n  ?s  Series  ?n  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.001179329	0.017873687	0.017873687	463	25904	25904	-2
?n  Leader of  ?a  ?a  Leader of  ?g  ?g  Leader of  ?n  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	1	1	2109	2109	2109	-2
?n  Leader of  ?a  ?n  Leader of  ?g  ?g  Leader of  ?n  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.943624161	0.943624161	2109	2235	2235	-2
?m  Producer  ?a  ?m  Recorded by  ?a  ?m  Recorded by  ?g  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.001087632	0.942604857	0.942604857	427	453	453	-2
?m  Producer  ?g  ?m  Recorded by  ?a  ?m  Recorded by  ?g  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.001087632	0.942604857	0.942604857	427	453	453	-2
?m  Producer  ?a  ?m  Producer  ?g  ?m  Recorded by  ?a  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.001087632	0.904661017	0.904661017	427	472	472	-2
?m  Children  ?a  ?t  Children  ?g  ?m  Spouse (or domestic partner)  ?t  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.00325016	0.569642857	0.569642857	1276	2240	2240	-2
?m  Children  ?a  ?s  Children  ?g  ?s  Spouse (or domestic partner)  ?m  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.00325016	0.569642857	0.569642857	1276	2240	2240	-2
?m  Leader of  ?a  ?s  Leader of  ?g  ?s  Leader of  ?m  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.005621555	0.89642567	0.89642567	2207	2462	2462	-2
?m  Producer  ?a  ?m  Producer  ?g  ?m  Recorded by  ?g  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.001087632	0.904661017	0.904661017	427	472	472	-2
?s  Leader of  ?a  ?m  Leader of  ?g  ?s  Leader of  ?m  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.005621555	0.89642567	0.89642567	2207	2462	2462	-2
?g  Place  ?a  ?g  Place  ?n  ?s  Place  ?n  ?s  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	0.98094449	0.98094449	4736	4828	4828	-2
?g  Leader of  ?a  ?g  Leader of  ?n  ?s  Leader of  ?n  ?s  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.539386189	0.539386189	2109	3910	3910	-2
Mining done in 3 h, 47 min
Total time 3 h, 47 min
119 rules mined.
